"","AREA_TITLE","PRIM_STATE","OCC_TITLE","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"1","Abilene, TX","TX","Computer and Mathematical Occupations",990,4.8,14.411,0.44,67670,2.7,35620,46780,60110,80040,113980
"2","Abilene, TX","TX","Computer Network Architects",30,28.2,0.464,0.39,116360,12.2,59670,84800,128180,151700,151700
"3","Abilene, TX","TX","Software Developers",120,12.4,1.739,0.18,95400,3.8,47880,76310,91910,115640,131100
"4","Abilene, TX","TX","Architecture and Engineering Occupations",630,4.1,9.2,0.53,73790,3,36940,47910,61040,93350,120260
"5","Abilene, TX","TX","Civil Engineers",140,9.4,2.065,0.96,72350,2.1,47910,54160,61040,79380,104740
"6","Abilene, TX","TX","Electrical Engineers",50,9.4,0.762,0.58,99130,3.3,59450,75860,99710,120260,126720
"7","Abilene, TX","TX","Mechanical Engineers",50,15.6,0.667,0.34,93310,6,52950,67610,96130,118870,149950
"8","Abilene, TX","TX","Petroleum Engineers",30,12.8,0.483,3.08,126640,7.7,86890,96370,117780,124310,174680
"9","Abilene, TX","TX","Architectural and Civil Drafters",50,31.3,0.745,1.04,48760,6.4,23260,36820,48460,58630,66900
"10","Abilene, TX","TX","Civil Engineering Technologists and Technicians",50,9.1,0.781,1.71,46450,3.5,36740,36740,41940,48400,60050
"11","Abilene, TX","TX","Data Entry Keyers",80,10.9,1.153,1.1,31620,1.4,23170,26980,29820,37680,44270
"12","Abilene, TX","TX","Operating Engineers and Other Construction Equipment Operators",200,10.1,2.908,1.01,39570,2.1,29690,29980,37650,46590,48370
"13","Aguadilla-Isabela, PR","PR","Architectural and Engineering Managers",40,5.7,0.967,0.73,101470,1.7,73050,77300,98420,125740,125740
"14","Aguadilla-Isabela, PR","PR","Computer and Mathematical Occupations",830,6.1,18.31,0.55,50450,1.6,22760,34280,46870,62290,79670
"15","Aguadilla-Isabela, PR","PR","Software Developers",330,14.3,7.257,0.75,62890,3.3,45660,48550,62290,79670,79670
