"","AREA_TITLE","PRIM_STATE","OCC_TITLE","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"1","Alabama","AL","Architectural and Engineering Managers",2670,4.3,1.385,1.04,146600,1.4,88960,106400,134480,166530,207820
"2","Alabama","AL","Computer and Mathematical Occupations",46460,2.2,24.095,0.73,88510,1.1,43300,60320,79880,105980,133220
"3","Alabama","AL","Computer Network Architects",2470,10.2,1.281,1.07,114250,3.2,75410,82810,104010,131910,165470
"4","Alabama","AL","Database Administrators",2210,4.2,1.149,1.88,82730,1.5,48540,61120,78790,99960,124940
"5","Alabama","AL","Database Architects",360,17.7,0.186,0.52,123770,6.5,74900,93510,123980,131910,206580
"6","Alabama","AL","Software Developers",14240,4,7.385,0.76,102990,1.3,57880,77850,99510,127240,162350
"7","Alabama","AL","Software Quality Assurance Analysts and Testers",1550,11,0.802,0.59,81940,5.2,31740,59430,77620,99690,126780
"8","Alabama","AL","Data Scientists",520,28.9,0.271,0.36,84470,4.6,47080,52240,80290,102600,131340
"9","Alabama","AL","Architecture and Engineering Occupations",46060,1.9,23.889,1.38,93350,0.9,47040,61490,82500,122510,153800
"10","Alabama","AL","Landscape Architects",130,16.4,0.067,0.54,65720,5.3,37140,47850,60550,78420,100390
"11","Alabama","AL","Aerospace Engineers",3860,8.5,2.002,4.98,121370,1.3,75660,95680,123800,146310,167520
"12","Alabama","AL","Agricultural Engineers",30,48.9,0.016,2.07,75590,26,59090,59470,61620,76860,102080
"13","Alabama","AL","Bioengineers and Biomedical Engineers",50,27.3,0.024,0.19,80370,3.9,47080,62180,75100,100350,142850
"14","Alabama","AL","Chemical Engineers",490,9.7,0.254,1.48,99450,2.2,62400,76910,97300,121500,138530
"15","Alabama","AL","Civil Engineers",5050,7.9,2.618,1.21,93820,2.7,56590,62480,84340,119630,134860
"16","Alabama","AL","Computer Hardware Engineers",860,11.9,0.446,0.85,121780,1.2,75660,99510,123430,138670,171890
"17","Alabama","AL","Electrical Engineers",4130,5.2,2.141,1.62,109090,1.9,62350,77770,100440,129690,162410
"18","Alabama","AL","Electronics Engineers, Except Computer",1880,16,0.976,1.28,115800,2.6,74240,82940,112010,136050,166890
"19","Alabama","AL","Environmental Engineers",900,11.5,0.466,1.54,92800,5.8,48190,61210,79890,120390,161440
"20","Alabama","AL","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",620,15,0.324,1.99,106640,2.3,75230,82010,99980,126780,145640
"21","Alabama","AL","Industrial Engineers",6430,3.2,3.334,1.6,93640,0.9,60490,75230,95300,101260,128620
"22","Alabama","AL","Marine Engineers and Naval Architects",200,32,0.105,2.01,83980,3.8,61210,76710,78210,99980,101760
"23","Alabama","AL","Materials Engineers",800,5.3,0.417,2.73,97100,1.1,60750,75230,97090,123780,138800
"24","Alabama","AL","Mechanical Engineers",5310,6.6,2.756,1.4,96930,2.2,60880,76650,91270,120790,150530
"25","Alabama","AL","Mining and Geological Engineers, Including Mining Safety Engineers",220,16.4,0.113,2.16,86720,6.7,48160,59550,81040,99490,128780
"26","Alabama","AL","Nuclear Engineers",170,14,0.086,0.96,108100,3.8,57520,93030,117460,124780,140000
"27","Alabama","AL","Petroleum Engineers",80,24.2,0.039,0.25,106970,14.6,49220,59480,94890,128750,167750
"28","Alabama","AL","Engineers, All Other",3370,1.6,1.75,1.62,126070,0.6,74190,99040,125200,162160,172100
"29","Alabama","AL","Architectural and Civil Drafters",1230,9.5,0.64,0.89,54230,3,29260,38000,49770,61950,78660
"30","Alabama","AL","Aerospace Engineering and Operations Technologists and Technicians",770,17.4,0.401,5.19,64820,3.9,45990,48930,62410,79380,96250
"31","Alabama","AL","Civil Engineering Technologists and Technicians",1600,6.2,0.83,1.82,48410,1.4,29870,37380,46650,58680,65680
"32","Alabama","AL","Electrical and Electronic Engineering Technologists and Technicians",1660,6.2,0.862,1.2,65550,1.9,37510,47490,60250,77380,97630
"33","Alabama","AL","Environmental Engineering Technologists and Technicians",240,30.5,0.123,1.16,43310,5.4,29270,35170,37550,48360,61150
