,location,city,state
0,"Aberdeen Proving Ground, MD",Aberdeen Proving Ground, MD
1,"Abingdon, MD",Abingdon, MD
2,"Alameda, CA",Alameda, CA
3,"Albany, NY",Albany, NY
4,"Albuquerque, NM",Albuquerque, NM
5,"Alexandria, VA",Alexandria, VA
6,"Aliso Viejo, CA",Aliso Viejo, CA
7,"Allen Park, MI",Allen Park, MI
8,"Allen, TX",Allen, TX
9,"Allentown, PA",Allentown, PA
10,"Alpharetta, GA",Alpharetta, GA
11,"American Fork, UT",American Fork, UT
12,"Ames, IA",Ames, IA
13,"Amsterdam, NY",Amsterdam, NY
14,"Anaheim, CA",Anaheim, CA
15,"Andover, MA",Andover, MA
16,"Ann Arbor, MI",Ann Arbor, MI
17,"Annandale, VA",Annandale, VA
18,"Annapolis Junction, MD",Annapolis Junction, MD
19,"Annapolis, MD",Annapolis, MD
20,"Antioch, TN",Antioch, TN
21,"Archbald, PA",Archbald, PA
22,"Arizona City, AZ",Arizona City, AZ
23,"Arlington Heights, IL",Arlington Heights, IL
24,"Arlington, TX",Arlington, TX
25,"Arlington, VA",Arlington, VA
26,"Armonk, NY",Armonk, NY
27,"Arvada, CO",Arvada, CO
28,"Ashburn, VA",Ashburn, VA
29,"Aspen, CO",Aspen, CO
30,"Athens, GA",Athens, GA
31,"Atlanta, GA",Atlanta, GA
32,"Atlanta, NY",Atlanta, NY
33,"Auburn Hills, MI",Auburn Hills, MI
34,"Augusta, GA",Augusta, GA
35,"Aurora, CO",Aurora, CO
36,"Austin, TX",Austin, TX
37,"Azusa, CA",Azusa, CA
38,"Bala Cynwyd, PA",Bala Cynwyd, PA
39,"Ballston Spa, NY",Ballston Spa, NY
40,"Baltimore, MD",Baltimore, MD
41,"Basking Ridge, NJ",Basking Ridge, NJ
42,"Baton Rouge, LA",Baton Rouge, LA
43,"Beaverton, OR",Beaverton, OR
44,"Bedford, MA",Bedford, MA
45,"Belgium, WI",Belgium, WI
46,"Bellevue, ID",Bellevue, ID
47,"Bellevue, OH",Bellevue, OH
48,"Bellevue, WA",Bellevue, WA
49,"Belmont, CA",Belmont, CA
50,"Beloit, WI",Beloit, WI
51,"Bend, OR",Bend, OR
52,"Bentonville, AR",Bentonville, AR
53,"Bergenfield, NJ",Bergenfield, NJ
54,"Berkeley Heights, NJ",Berkeley Heights, NJ
55,"Berkeley, CA",Berkeley, CA
56,"Berlin Center, OH",Berlin Center, OH
57,"Berlin, CT",Berlin, CT
58,"Berlin, GA",Berlin, GA
59,"Berwyn, PA",Berwyn, PA
60,"Bethesda, MD",Bethesda, MD
61,"Beverly, MA",Beverly, MA
62,"Birmingham, AL",Birmingham, AL
63,"Bloomfield, CT",Bloomfield, CT
64,"Bloomington, IL",Bloomington, IL
65,"Bloomington, IN",Bloomington, IN
66,"Bloomington, MN",Bloomington, MN
67,"Boca Raton, FL",Boca Raton, FL
68,"Boise, ID",Boise, ID
69,"Bolivia, NC",Bolivia, NC
70,"Boone, NC",Boone, NC
71,"Bossier City, LA",Bossier City, LA
72,"Boston, AR",Boston, AR
73,"Boston, MA",Boston, MA
74,"Bothell, WA",Bothell, WA
75,"Boulder, CO",Boulder, CO
76,"Bowling Green, OH",Bowling Green, OH
77,"Boxborough, MA",Boxborough, MA
78,"Bozeman, MT",Bozeman, MT
79,"Brazil, IN",Brazil, IN
80,"Brea, CA",Brea, CA
81,"Bridgeport, CT",Bridgeport, CT
82,"Bridgewater, NJ",Bridgewater, NJ
83,"Bristol, CT",Bristol, CT
84,"Brooklyn Park, MN",Brooklyn Park, MN
85,"Brooklyn, NY",Brooklyn, NY
86,"Broomfield, CO",Broomfield, CO
87,"Buda, TX",Buda, TX
88,"Buffalo Grove, IL",Buffalo Grove, IL
89,"Buffalo, NY",Buffalo, NY
90,"Burbank, CA",Burbank, CA
91,"Burlingame, CA",Burlingame, CA
92,"Burlington, MA",Burlington, MA
93,"Burlington, VT",Burlington, VT
94,"Burnsville, MN",Burnsville, MN
95,"Butte, MT",Butte, MT
96,"California City, CA",California City, CA
97,"California Hot Springs, CA",California Hot Springs, CA
98,"California, PA",California, PA
99,"Camas, WA",Camas, WA
100,"Cambridge, MA",Cambridge, MA
101,"Campbell, CA",Campbell, CA
102,"Canada, KY",Canada, KY
103,"Canonsburg, PA",Canonsburg, PA
104,"Cape Canaveral, FL",Cape Canaveral, FL
105,"Cape Girardeau, MO",Cape Girardeau, MO
106,"Carlsbad, CA",Carlsbad, CA
107,"Carpinteria, CA",Carpinteria, CA
108,"Cary, NC",Cary, NC
109,"Cedar Rapids, IA",Cedar Rapids, IA
110,"Centreville, VA",Centreville, VA
